"Texas Wendish Heritage Society, 1011 CR 212, Giddings, Texas, 78942 USA",,,,,
Newsletter Index,,,,,
Last Update:,"November 25, 2018",,,,
"Newsletters in this Index:  1979: Oct-Dec, Vol. I, No. 1 (""Oct"") 1980: Jan-Mar, Vol. I, No. 2 (""Jan""); Apr-Jun, Vol I, No. 3 (""Apr""); Jul-Sept, Vol. I, No. 4 (""Jul""); Oct-Dec, Vol. II, No. 1 (""Oct"") 1981: Jan-Mar, Vol. II, No. 2 (""Jan""); Apr-Jun, Vol. II, , No. 3 (""Apr""); Jul-Sept, Vol. II, No. 4 (""Jul""); Oct-Dec, Vol. III, No. 1 (""Oct"") 1982: Jan-Mar, Vol. III, No. 2 (""Jan""); Apr-Jun, Vol III, No. 3 (""Apr""); Jul-Sept, Vol. III, No. 4 (""Jul"") 1983: Apr-Jun, Vol. IV, No. 3 (""Apr""); Jul-Sept, Vol. IV, No. 4 (""Jul"") 1984: Jan-Mar, Vol. V, No. 2 (""Jan""); Apr-Jun, Vol. V, No. 3 (""Apr""); Jul-Sept, Vol. V, No. 4 (""Jul""); Oct-Dec, Vol. VI, No. 1 (""Oct"") 1985: Jan-Mar, Vol. VI, No. 2 (""Jan""); Apr-Jun, Vol. VI, No. 3 (""Apr""); Jul-Sept, Vol. VI, No. 4 (""Jul""); Oct-Dec, Vol. VII, No. 1 (""Oct"") 1986: Jan-Mar, Vol. VII, No. 2 (""Jan""); Apr-Jun, Vol. VII, No. 3 (""Apr""); Jul-Sept, Vol. VII, No. 4 (""Jul""); Oct-Dec, Vol. VIII, No. 1 (""Oct"") 1987: Jan-Mar, Vol. VIII, No. 2 (""Jan""); Apr-Jun, Vol. VIII, No. 3 (""Apr""); Jul-Sept, Vol. VIII, No. 4 (""Jul""); Oct-Dec, Vol. IX, No. 1 (""Oct"") 1988: Jan-Mar, Vol. IX, No. 2 (""Jan""); Apr-Jun, Vol. IX, No. 3 (""Apr""); Jul-Sept, Vol. IX, No. 4 (""Jul""); Oct-Dec, Vol. X, No. 1 (""Oct"") 1989: Jan-Mar, Vol. X, No. 2 (""Jan""); Apr-Jun, Vol. X, No. 3 (""Apr""); Jul-Sept, Vol. X, No. 4 (""Jul""); Oct-Dec, Vol. XI, No. 1 (""Oct"")",,,,,
"Newsletters in this Index: 1990: Jan-Mar, Vol. III, No. 1 (""Jan""); Apr-Jun, Vol. III, No. 2 (""Apr""); Jul-Sept, Vol. III, No. 3 (""Jul""); Oct-Dec, Vol. III, No. 4 (""Oct"") 1991: Jan-Mar, Vol. IV, No. 1 (""Jan""); March, Vol. IV, No. 2 (""Mar""); April, Vol. IV, No. 3 (""Apr""); May, Vol. IV, No. 4 (""May""); June, Vol. IV, No. 5 (""Jun""); July, Vol. IV, No. 6 (""Jul""); August, Vol. IV, No. 7 (""Aug); September, Vol. IV, No. 8 (""Sep""); October, Vol. IV, No. 9 (""Oct""); November, Vol. IV, No. 10 (""Nov""); December, Vol. IV, No. 11 (""Dec"") 1992: January, Vol. V, No. 1 (""Jan""); February, Vol. V, No. 2 (""Feb""); May, Vol. V, No. 4 (""May""); June, Vol. V, No. 5 (""Jun""); July & August, Vol. V, No. 6 (""Jul""); September, Vol. V, No. 7 (""Sep""); December, Vol. V, No. 8 (""Dec"") 1993: February, Vol. VI, No. 1 (""Feb""); April, Vol. VI, No. 2 (""Apr""); June, Vol. VI, No. 3 (""Jun""); August, Vol. VI, No. 4 (""Aug""); October, Vol. VI, No. 5 (""Oct""); December, Vol. VI, No. 6 (""Dec"") 1994: February, Vol. VII, No. 1 (""Feb""); April, Vol. VII, No. 2 (""Apr""); July, Vol. VII, No. 3 (""Jul""); August, Vol. VII, No. 4 (""Aug""); October, Vol. VII, No. 5 (""Oct"") 1995: January, Vol. VIII, No. 1 (""Jan""); April, Vol. VIII, No. 2 (""Apr""); July, Vol. VIII, No. 3 (""Jul""); August, Vol. VIII, No. 4 (""Aug""); October, Vol. VIII, No. 5 (""Oct"") ----- MISSING ----- ",,,,,
"Newsletters in this Index:  ----- MISSING ----- 2001: January, Vol. XIV, No. 1 (""Jan""); April, Vol. XV, No. 2 (""Apr""); June, Vol. XIV, No. 3 (""Jun""); October, Vol. XIV, No. 5 (""Oct"") 2002: January, Vol. XV, No. 1 (""Jan""); April, Vol. XV, No. 2 (""Apr""); July, Vol. XV, No. 3 (""Jul""); October, Vol. XV, No. 4 (""Oct"") 2003: January, Vol. XVI, No. 1 (""Jan""); April, Vol. XVI, No. 2 (""Apr""); July, Vol. XVI, No. 3 (""Jul""); October, Vol. XVI, No. 1 (""Oct"") 2004: January, Vol. XVII, No. 1 (""Jan""); April, Vol. XVII, No. 2 (""Apr""); July, Vol. XVII, No. 3 (""Jul""); October, Vol. XVII, No. 4 (""Oct"") 2005: January, Vol. XVIII, No. 1 (""Jan""); February, Vol. XVIII, No. 2 (""Apr""); July, Vol. XVIII, No. 3 (""Jul""); October, Vol XVIII, No. 4 (""Oct"") 2006: January, Vol. XIX, No. 1 (""Jan""); April, Vol. XIX, No. 2 (""Apr""); July, Vol. XIX, No. 3 (""Jul""); October, Vol. XIX, No. 4 (""Oct"") 2007: January, Vol. XX, No. 1 (""Jan""); April, Vol. XX, No. 2 (""Apr""); July, Vol. XX, No. 3 (""Jul""); October, Vol. XX, No. 4 (""Oct"") 2008: January, Vol.  XXI, No. 1 (""Jan""); April, Vol. XXI, No. 2 (""Apr""); July, Vol. XXI, No. 3 (""Jul""); October, Vol. XXI, No. 4 (""Oct"") 2009: January, Vol. XXII, No. 1 (""Jan""); April, Vol XXII, No. 2 (""Apr""); July, Vol. XXII, No. 3 (""Jul""); October, Vol. XXII, No. 4 (""Oct"") ",,,,,
"Newsletters in this Index: 2010: January, Vol. XXIII, No. 1 (""Jan""); April, Vol. XXIII, No. 2 (""Apr""); July, Vol. XXIII, No. 3 (""Jul""); October, Vol. XXIII, No. 4 (""October"") 2011: January, Vol. XXIV, No. 1, (""Jan""); April, Vol. XXIV, No. 2 (""Apr""); July, Vol. XXIV, No. 3 (""Jul""); October, Vol. XXIV, No. 4 (""Oct"") 2012: January, Vol. XXV, No. 1 (""Jan""); April, Vol. XXV, No. 2 (""Apr""); July, Vol. XXV, No. 3 (""Jul""); October, Vol. XXV, No. 4 (""Oct"") 2013: January, Vol. XXVI, No. 1 (""Jan""); April, Vol. XXVI, No. 2 (""Apr""); July, Vol. XXVI, No. 3 (""Jul""); October, Vol. XXVI, No. 4 (""Oct"") 2014: January, Vol. XXVII, No. 1 (""Jan""); April, Vol. XXVII, No. 2 (""Apr""); July, Vol. XXVII, No. 3 (""Jul""); October, Vol. XXVII, No. 4 (""Oct"") 2015: January, Vol. XXXV, No. 1 (""Jan""); April, Vol. XXXV, No. 2 (""Apr""); July, Vol. XXXV, No. 3 (""Jul""); October, Vol. XXXV, No. 4 (""Oct"") 2016: January, Vol. XXXVI, No. 1 (""Jan""); April, Vol. XXXVI, No. 2 (""Apr""); July, Vol. XXXVI, No. 3 (""Jul""); October, Vol. XXXVI, No. 4 (""Oct"") 2017: January, Vol. XXXVII, No. 1 (""Jan""); April, Vol. XXXVII, No. 2 (""Apr""); July, Vol. XXXVII, No. 3 (""Jul""); October, Vol. XXXVII, No. 4 (""Oct"")",,,,,
"MISSING: 1982, whole issue Jan-Mar 1983 whole issue Jan-Mar; whole issue Oct-Dec1989 p. 6 from Oct-Dec issue
1992, Vol. 5, No. 3 whole issue; 
all issues from 1996, 1997, 1998, 1999, 2000; 
2007 p. 9 from the July issue;  2010 April, pg 4, 7, 9; 2015 whole issue Dec",,,,,
"The first TWHS Newsletter -- Vol. I, No. 1 -- was published as Oct.-Dec., 1979.  ",,,,,
,,,,,
0 Name,Year: Month Page,,,,
125 Years of God’s Grace,2011: Jan 4,,,,
